Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
Nigeria,Market Average,Market Average,sorghum,01/03/2007,3575.76,3711.52,3452.18,3711.52,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2007,3690.01,3817.22,3562.8,3645.24,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2007,3645.72,3768.25,3523.19,3651.28,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2007,3668.93,3794.22,3543.65,3693.56,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2007,3730.63,3855.67,3605.59,3708.04,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2007,3740.35,3970.26,3612.88,3970.26,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2007,4087.02,4221.16,3952.88,4203.19,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2007,4338.86,4742.65,4194.41,4742.65,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2007,4997.32,5246.16,4839.27,5246.16,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2007,5527.83,5706.97,5270.43,5270.43,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2008,5372.53,5731.72,5196.47,5731.72,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2008,5936.38,6130.28,5742.47,5899.36,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2008,6046.27,6244.49,5848.05,6111.99,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2008,6243.01,6450.34,5757.88,5757.88,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2008,5710.96,6093.36,5519.14,6093.36,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2008,6212.24,6725.63,6007.25,6725.63,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2008,7029.98,7251.68,6808.29,7092.1,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2008,7336.57,7575.34,6733.78,6733.78,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2008,6708.97,7076.54,6489.09,7076.54,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2008,7204.56,7441.12,6734.99,6734.99,NGN
Nigeria,Market Average,Market Average,sorghum,01/11/2008,6708.05,6927.39,5868.28,5868.28,NGN
Nigeria,Market Average,Market Average,sorghum,01/12/2008,5637.01,5826.26,5447.77,5530.48,NGN
Nigeria,Market Average,Market Average,sorghum,01/01/2009,5391.38,5803.21,5210.95,5803.21,NGN
Nigeria,Market Average,Market Average,sorghum,01/02/2009,5893.84,6079.57,5708.11,5883.33,NGN
Nigeria,Market Average,Market Average,sorghum,01/03/2009,5972.5,6164.66,5780.34,5885.67,NGN
Nigeria,Market Average,Market Average,sorghum,01/04/2009,5932.18,6121.8,5742.56,5963.94,NGN
Nigeria,Market Average,Market Average,sorghum,01/05/2009,6027.97,6223.14,5832.8,5876.58,NGN
Nigeria,Market Average,Market Average,sorghum,01/06/2009,5894.5,6115.69,5704.25,6115.69,NGN
Nigeria,Market Average,Market Average,sorghum,01/07/2009,6225.68,6540.86,6025.73,6540.86,NGN
Nigeria,Market Average,Market Average,sorghum,01/08/2009,6754.43,6966.02,6542.84,6801.77,NGN
Nigeria,Market Average,Market Average,sorghum,01/09/2009,6980.74,7203.64,6490.25,6490.25,NGN
Nigeria,Market Average,Market Average,sorghum,01/10/2009,6465.35,6673.95,6256.75,6265.48,NGN
